Well,Platform,Sand Risk,"WHFP
(bars)",Date of last survey,Last sand level,Marker,Sand control,"ClampOn
Survey
Frequency",Delay survey (days),Next Survey Date,Velocity,SandProbe installation date,Choke Type,T-shape Installation,"EMS
(Erosion Monitoring system)",Gas Detector,"Change
choke
request",WELL STATUS,"Top Perfo Depth
(mSS)",Current Qgas (MMscfd),"DP Ratio (WHFP/ Flow Line Pressure), Barg",Max. Del. Pot. (MMscfd)
TN-Nx36,GTSNx,Low,9.5,31-Dec-23,Sand Free,SU5,NO,8 weeks,0,25-Feb-24,,,CAM,YES,, ,,Last visit 01/01/2024 (DBC Passing),3429,0.2,1,0
TN-Nx43,GTSNx,Low,9.5,18-Nov-23,Sand Free,SU4,NO,8 weeks,0,13-Jan-24,,,CAM,YES,, ,,Last visit 01/01/2024 (skoflo clogged & DBC passing),3171,0.2,1,1.2
TN-Nx51.T1,GTSNx,Low,11.5,22-Dec-23,Sand Free,SU4,NO,8 weeks,0,16-Feb-24,,,VONK,YES,, ,,Last visit 01/01/2024 (by pass skoflo),3263,1.4,1,2.5
TN-Q428,GTSQ,Low,11,9-Dec-23,Sand Free,,NO,8 weeks,0,3-Feb-24,,23-Oct-19,,YES,, ,,"Last visit 01/03/2024 (CI Optimization, cover TN-Q460)",2816,0.4,1,
TN-Q430,GTSQ,Low,11,16-Dec-23,Sand Free,,NO,8 weeks,0,10-Feb-24,,4-Nov-19,,YES,, ,,Last visit 12/27/2023,2670,0.6,1,
TN-Q65,GTSQ,Low,11.8,30-Dec-23,Sand Free,SU2,NO,8 weeks,0,24-Feb-24,,,CAM,YES,, ,,Last visit 01/04/2024,2402,0.3,1,0.5
TN-Q78,GTSQ,Low,11,30-Dec-23,Sand Free,,NO,8 weeks,0,24-Feb-24,,20-Feb-21,,YES,, ,,Last visit 01/03/2024,3113,0.2,1,
TN-Q467,,Low,116,30-Dec-23,Sand Free,,NO,8 weeks,0,24-Feb-24,,,,YES,, ,,"Well Produce Qoil Commingle with TN-Q469. Qoil : 247.6 Bopd, Qwater : 9.58 Bwpd, Last visit 01/04/2024",,3.2,7,
TN-Q469,,Low,44,30-Dec-23,Sand Free,,NO,8 weeks,0,24-Feb-24,,,,YES,, ,,"Well Produce Qoil Commingle with TN-Q467. Qoil : 247.6 Bopd , Qwater : 9.58 Bwpd, Injection PowerWax 1055 : 5 Ltrs/D, Last visit 01/04/2024",,0.7,4,
MK-3,GTSQ,Low,0,,,SU5,NO,8 weeks,,Not yet survey,0,,FMC,YES,, ,SI,"Isolation_cemented well by ELSA 7. Flowline has been preserved. (FULLY SHUT IN WELL, LOWER MASTER CLOSED, ESDV REMOVED) Slanted x-tree well, body choke & manual flowline removed, blind installed (ESDV replace with spool), Last visit 01/01/2024",3600,0,,0
TN-W10,GTSP,Low,0,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS P preservation program, FULLY SHUT IN,  Last visit 12/04/2023 (Well killed)",3950,0,,0
TN-W18,GTSP,Low,14,,,SU5,NO,8 weeks,,Not yet survey,,,FMC,YES,, ,SI,"Preserve_GTS P preservation program, FULLY SHUT IN, Last visit 12/04/2023",4056,0,,0
TN-W19,GTSK,Low,99,,,SU5,NO,8 weeks,,Not yet survey,,,FMC,YES,, ,SI,"SIBU_Due to no flow (Manual wing valve removed), Last visit Last visit 01/01/2024 . FULLY SHUT IN WELL",4058,0,,0
TN-W22,GTSY,Low,0,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y protection program ( FULLY SHUT IN WELL, LOWER MASTER CLOSED)  ESDV instr. Gas header 2"" to remote well depressurise and flowline well 8"" full water with biocide. Manual wing Spool removed & blinded. Last visit 08/04/2023",4059,0,,0
TN-W7,GTSN,Low,138,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,SIBU_Due to no flow (flowline disconnected/ No internal at WHCP). Last visit 10/07/2023 (data Ann update from WLI),3591,0,,0
TN-W9,GTSQ,Low,0.02,,,SU5,NO,8 weeks,,Not yet survey,,,FMC,YES,, ,SI,"Isolation_cemented well Flowline has been preserved (FULLY SHUT IN WELL, LOWER MASTER CLOSED AND SPOOL REMOVAL) Slanted x-tree well, Flowline & ESDV removed, blind installed, Instal Clam Casing (cemented), Last visit 12/04/2023",3727,0,,0
TN-Y1.T3,GTSY,Low,170,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y Preservation program, FULLY SHUT IN WELL, LOWER MASTER CLOSED, Manual wing removed and blinded, Last visit 07/29/2023",3681,0,,0
TN-Y12.T1,GTSY,Low,78,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y preservation program, FULLY SHUT IN WELL, Manual wing removed and blinded Last visit 07/29/2023",3673,0,,0
TN-Y16,GTSY,Low,125,,,SU4,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y Preservation program, FULLY SHUT IN WELL, LOWER MASTER CLOSED, Last visit 07/29/2023",3500,0,,0.1
TN-Y17,GTSY,Low,0.9,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y Preservation program, FULLY SHUT IN WELL, LOWER MASTER CLOSED, cemented well, Manual wing removed and blinded, Bull plug installed on Annulus-C without connection for pressure checking. Last visit 08/04/2023",4016,0,,0
TN-Y2,GTSY,Low,295,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y Preservation program, FULLY SHUT IN, LOWER MASTER CLOSED, flowline disconnect permanently, Last visit 07/29/2023",3959,0,,0
TN-Y27,GTSY,Low,190,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y preservation program, FULLY SHUT IN WELL, Manual wing removed and blinded Last visit 07/29/2023",3667,0,,0
TN-Y4,GTSY,Low,76,,,SU4,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y preservation program, FULLY SHUT IN WELL, Manual wing removed and blinded Last visit 07/29/2023",3542,0,,0
TN-Y6,GTSY,Low,10,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y Preservation program, FULLY SHUT IN WELL , LOWER MASTER CLOSED, Manual wing removed and blinded, Last visit 07/29/2023",3888,0,,0.1
TN-Y7,GTSY,Low,165,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y preservation program, FULLY SHUT IN WELL, Manual wing removed and blinded Last visit 07/29/2023",3634,0,,0
TN-Y9,GTSY,Low,72,,,SU5,NO,8 weeks,,Not yet survey,,,CAM,YES,, ,SI,"Preserve_GTS Y Preservation program, FULLY SHUT IN WELL, LOWER MASTER CLOSED, Manual wing removed and blinded  Last visit 07/29/2023",3859,0,,0
ML-3,GTSN,Low,0.33,,,SU2,NO,8 weeks,0,Not yet survey,0,,FMC,YES,, ,SI,"SIBU_Due to no flow, (Flowline disconnected), FULLY SHUT IN (Perform Plugging), Last visit 12/02/2023",2416,0,,0
ML-5,GTSL,Low,53,,,SU3,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, FULLY SHUT IN WELL, LMV Hard operate,  Last visit 12/06/2023 (FLOWLINE DEPRESSURIZED FOR LIFTING)",2878,0,,0
TN-17,GTSL,Low,185.5,,,SU4,NO,8 weeks,0,Not yet survey,0,,FMC,YES,, ,SI,"SHUT IN WELL FLOW LINE DISCONNECTED PERMANENTLY, FULLY SHUT IN WELL, Last visit 01/01/2024",3579,0,,0
TN-21,GTSL,Low,40,23-Apr-21,Sand Free,SU2,NO,8 weeks,0,18-Jun-21,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024 (Tubing WHFP clogged)",2944,0,,0
TN-24-B1,GTSI,Low,117.2,,,SU3,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, FULLY SHUT IN, Line blinded at incomming GTS. Last visit 09/28/2023",3089,0,,0
TN-I10.G1,GTSI,Low,171.5,2-Apr-22,Sand Free,SU4,NO,8 weeks,0,28-May-22,,,,YES,, ,SI,"PERFORM RETRIEVE PO SPACER BY NESITOR 01 (Postpone job), Last visit 01/04/2024",3333,0,,
TN-I120,GTSI,Low,35,31-Jul-23,Sand Free,SU4,NO,8 weeks,0,25-Sep-23,0,10-Mar-15,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/26/2023 (AUTO SIBU), Re-Range wellhead pressure recorder to 0-200 B",3526,0,,1.5
TN-I127,GTSI,Low,108,14-May-23,Sand Free,SU3,NO,8 weeks,0,9-Jul-23,0,8-Oct-15,,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024 (AUTO SIBU), Re-Range wellhead pressure recorder to 0-200 B",3233,0,,1.3
TN-I13,GTSI,Low,48,5-Jan-22,Sand Free,SU1,NO,8 weeks,0,2-Mar-22,0,,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",2651,0,,0
TN-I14,GTSI,Low,18,26-Nov-23,Sand Free,SU4,NO,8 weeks,0,21-Jan-24,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/03/2024",3514,0,,0.2
TN-I146.T1,GTSI,Low,135,22-Aug-23,Sand Free,SU3,NO,8 weeks,0,17-Oct-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024 (AUTO SIBU), Re-Range wellhead pressure recorder to 0-200 B",3167,0,,0.1
TN-I148,GTSI,Low,87.5,7-Sep-23,Sand Free,SU2,NO,8 weeks,0,2-Nov-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",2920,0,,0.3
TN-I152,GTSI,Low,50,5-Dec-22,Sand Free,SU2,NO,8 weeks,0,30-Jan-23,0,22-Jan-13,FIX,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/26/2023",2821,0,,1.6
TN-I154,GTSI,Low,52,28-Dec-22,Sand Free,SU2,NO,8 weeks,0,22-Feb-23,0,28-Oct-13,CAGE,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",2720,0,,2
TN-I16,GTSI,Low,38,7-Jun-23,SandFree,SU1,NO,8 weeks,0,2-Aug-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/03/2024 (SSV wing keep open, WLI recommendation)",2647,0,,0
TN-I161,GTSI,Low,49,21-Sep-23,Sand Free,SU4,NO,8 weeks,0,16-Nov-23,0,27-Jan-15,CAGE,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024 (AUTO SIBU), Re-Range wellhead pressure recorder to 0-200 B",3574,0,,1.7
TN-I17,GTSI,Low,129,,,SU4,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/03/2024, Line Cap at incomming GTS (Manual Wing was removed)",3336,0,,0.3
TN-I18,GTSI,Low,0.5,7-Nov-18,,SU4,NO,8 weeks,0,2-Jan-19,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, FULLY SHUT IN, Last visit 01/03/2024, Seal DHSV leaking, (Skoflow N/A)",3396,0,,0.3
TN-I19,GTSI,Low,30,23-Nov-23,Sand Free,SU2,NO,8 weeks,0,18-Jan-24,0,,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024 (Manual valve hard operate)",2828,0,,0.6
TN-I30,GTSI,Low,110,8-Mar-23,Sand Free,SU2,NO,8 weeks,0,3-May-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/25/2023 (Leak at UMV)",2828,0,,0
TN-I31,GTSI,Low,0.5,,,SU2,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/26/2023 (WHSIP below flowline pressure)",2819,0,,0
TN-I405,GTSI,Low,48,26-Sep-21,Sand Free,SU3,NO,8 weeks,0,21-Nov-21,0,1-Nov-13,CAGE,YES,, ,SI,"Offload_S/I for waiting next program, Last visit 12/26/2023",2348,0,,3.1
TN-I447,GTSI,Low,63,19-Oct-23,Sand Free,SU3,NO,8 weeks,0,14-Dec-23,0,27-Jan-15,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3106,0,,0.8
TN-I450,GTSI,Low,110,28-Aug-23,Sand Free,SU3,NO,8 weeks,0,23-Oct-23,0,8-Oct-15,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024 (AUTO SIBU), Re-Range wellhead pressure recorder to 0-200 B",3133,0,,3.6
TN-I47.T1,GTSI,Low,45,16-Apr-23,Sand Free,SU3,NO,8 weeks,0,11-Jun-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3098,0,,0
TN-I52,GTSI,Low,40,24-Mar-22,Sand Free,SU1,NO,8 weeks,0,19-May-22,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/25/2023",2402,0,,0
TN-I6,GTSI,Low,38,9-Oct-23,Sand Free,SU3,NO,8 weeks,0,4-Dec-23,0,,FMC,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024 (AUTO SIBU), RE-Range wellhead pressure recorder to 0-200 B",3106,0,,0.2
TN-I7,GTSI,Low,40,25-Sep-23,Sand Free,SU4,NO,8 weeks,0,20-Nov-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024 (tubing pressure to Barton chart clogged)",3546,0,,0
TN-I73,GTSI,Low,29,30-Apr-23,Sand Free,Shallow,GP,8 weeks,0,25-Jun-23,0,18-Apr-12,CAGE,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",895,0,,7.4
TN-I78,GTSI,Low,28,26-Nov-23,Sand Free,Shallow,GP,8 weeks,0,21-Jan-24,0,8-Jan-12,VONK,YES,, ,SI,"Offload_ well keep SI after SFR due to sand produce, Last visit 01/03/2024 (NO Internal part)",637,0,,10.7
TN-I8,GTSI,Low,30,25-Sep-23,Sand Free,SU3,NO,8 weeks,0,20-Nov-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024 (AUTO SIBU), RE-RANGE barton pressure recorder to 0-200 B",3059,0,,0
TN-Ix114,GTSIx,Low,68.5,23-Apr-18,,SU1,NO,8 weeks,0,18-Jun-18,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, FULLY SHUT IN, Last visit 01/01/2024 (Manual wing Valve STUCK close) (Leakage at flange top cap X-mass tree)",2710,0,,0
TN-Ix116,GTSIx,Low,20,14-Jun-23,Sand Free,SU1,NO,8 weeks,0,9-Aug-23,0,9-Oct-13,CAGE,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/21/2023",2353,0,,0
TN-Ix121,GTSIx,Low,60,20-Nov-23,Sand Free,SU2,NO,8 weeks,0,15-Jan-24,0,21-Jul-12,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",2906,0,,0.2
TN-Ix15,GTSIx,Low,118,,,SU1,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, FULLY SHUT IN, (ESD Offline_ card was removed to TN-Ix43), Last visit 12/25/2023",2712,0,,0.2
TN-Ix157,GTSIx,Low,30,27-Jun-23,Sand Free,SU1,NO,8 weeks,0,22-Aug-23,0,8-Jul-13,CAGE,YES,, ,SI,"Isolation_Perform cementing by NAGA BIRU completed (Waiting for next program), Last visit 12/29/2023",2515,0,,0
TN-Ix24,GTSIx,Low,9.6,24-Dec-21,Sand Free,SU1,NO,8 weeks,0,18-Feb-22,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/25/2023",2716,0,,0
TN-Ix34,GTSIx,Low,10,28-Jun-19,Sand Free,SU1,NO,8 weeks,0,23-Aug-19,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/21/2023",2429,0,,0
TN-Ix36,GTSIx,Low,9,28-May-23,SandFree,SU1,NO,8 weeks,0,23-Jul-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",2724,0,,0
TN-Ix39.T1,GTSIx,Low,164,,,SU4,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"S/I after unplugging well, FULLY SHUT IN (unsuccess job) body choke and manual wing valve removed & disconnected, Last visit 12/21/2023",3532,0,,0
TN-Ix40,GTSIx,Low,9.6,31-May-22,Sand Free,SU1,NO,8 weeks,0,26-Jul-22,0,15-Dec-12,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/25/2023",2714,0,,0.2
TN-Ix50,GTSIx,Low,24,,,SU1,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/25/2023",2712,0,,0
TN-Ix51,GTSIx,Low,38,,,SU2,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",2792,0,,0
TN-Ix53,GTSIx,Low,7,,,SU1,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, WHSIP is below of flowline Pressure. Last visit 12/21/2023",2653,0,,0.2
TN-Ix54,GTSIx,Low,34,6-May-20,Sand Free,SU2,NO,8 weeks,0,1-Jul-20,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/27/2023",2961,0,,0
TN-Ix72,GTSIx,Low,5.5,,,Shallow,NO,8 weeks,0,Not yet survey,0,27-Sep-11,CAM,YES,, ,SI,"Sediment washing by ELSA 07,Cementing well (unplugged well), FULLY SHUT IN, Vonk choke removed to TN-I136. Last visit 12/21/2023, (leak test flowline not yet)",693,0,,0
TN-Ix75,GTSIx,Low,30,3-Oct-22,Sand Free,Shallow,GP,8 weeks,0,28-Nov-22,0,30-Jan-13,CAGE,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/21/2023",621,0,,0
TN-K1,GTSK,Low,9,30-Jun-17,,SU4,NO,8 weeks,0,25-Aug-17,0,15-Oct-12,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3537,0,,0.2
TN-K10,GTSK,Low,105,,,SU5,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow ( W/H & Incoming F/L Spaded ) (FULLY SHUT IN), Last visit 01/01/2024",3942,0,,0
TN-K11-ST1,GTSK,Low,0,10-Feb-17,,SU5,NO,8 weeks,0,7-Apr-17,0,,FMC,YES,, ,SI,"Preserve_Well. Last visit,01/01/2024 FULLY SHUT IN, 1"" IG line spaded, ESDV was removed",3738,0,,0.2
TN-K12,GTSK,Low,189,,,SU5,NO,8 weeks,0,Not yet survey,0,,FMC,YES,, ,SI,"Plug AC_well still plugged, Last visit 01/01/2024, (data from xtree DHSV leak test by WIN plug indicated passing, L/R < 3scfm)",3648,0,,0
TN-K13,GTSK,Low,33,21-Jul-23,Sand Free,SU5,NO,8 weeks,0,15-Sep-23,0,,CAM,YES,, ,SI,"Plug Ac_Plugging Ancol for RMI, Last visit 01/04/2024 (CAVITY FAILURE)",3653,0,,0
TN-K139,GTSK,Low,36,17-Dec-23,Sand Free,,NO,8 weeks,0,11-Feb-24,,23-Jun-19,,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024 (injection chemical cover TN-K50/K52)",3899,0,,
TN-K14,GTSK,Low,12,25-Jun-23,Sand Free,SU4,NO,8 weeks,0,20-Aug-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3504,0,,0
TN-K21,GTSK,Low,0,21-Oct-21,Sand Free,SU4,NO,8 weeks,0,16-Dec-21,0,,CAM,YES,, ,SI,"Plug Ac_ Pulg well for drilling TN-K124/K419, Last visit 01/01/2024",3625,0,,1.4
TN-K24.T1,GTSK,Low,9,,,SU5,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow (W/H & Incoming F/L Spaded ) (FULLY SHUT IN), Last visit 01/01/2024 (Leakage at landing ring wellhead)",3994,0,,0
TN-K25,GTSK,Low,0,3-Aug-18,,SU4,NO,8 weeks,0,28-Sep-18,0,,CAM,YES,, ,SI,"Plug AC_well still plugged, Last visit 01/01/2024, (data from xtree DHSV leak test by WIN plug indicated passing, L/R < 3scfm)",3540,0,,0
TN-K3,GTSK,Low,3.5,,,SU5,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"SIBU_Due to no flow (WHSIP less than flowline pressure), Last visit 01/04/2024 FULLY SHUT IN (SSV leak from steam piston)",4091,0,,0
TN-K4,GTSK,Low,30,25-Jun-23,Sand Free,SU5,NO,8 weeks,0,20-Aug-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3980,0,,0
TN-K42,GTSK,Low,60,17-Dec-23,Sand Free,SU4,NO,8 weeks,0,11-Feb-24,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3463,0,,0.2
TN-K45,GTSK,Low,54.5,,,SU4,NO,8 weeks,0,Not yet survey,0,16-Oct-12,CAM,YES,, ,SI,"Preserve_Well, Last visit 01/01/2024, line full of water inject biocide BM544 40 L  (1"" IG line spaded), ESDV was removed",3614,0,,0
TN-K50,GTSK,Low,20,17-Dec-23,Sand Free,SU4,NO,8 weeks,0,11-Feb-24,0,28-Jun-19,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",3585,0,,0
TN-K52,GTSK,Low,9,4-Jun-23,SandFree,SU4,NO,8 weeks,0,30-Jul-23,0,16-Aug-13,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",3542,0,,2.7
TN-K5-ST1,GTSK,Low,34,28-Oct-22,Sand Free,SU4,NO,8 weeks,0,23-Dec-22,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3543,0,,0
TN-K6-ST1,GTSK,Low,35,28-Oct-22,Sand Free,SU5,NO,8 weeks,0,23-Dec-22,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3488,0,,0.3
TN-K8-ST1,GTSK,Low,21,25-Nov-22,Sand Free,SU5,NO,8 weeks,0,20-Jan-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/04/2024",3742,0,,0.2
TN-Kx15,GTSKx,Low,165.5,24-Dec-20,Sand Free,SU5,NO,8 weeks,0,18-Feb-21,0,,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Last visit 01/01/2024  (AUTO SIBU)",3662,0,,0
TN-Kx17,GTSKx,Low,1.5,2-Nov-20,Sand Free,SU4,NO,8 weeks,0,28-Dec-20,0,16-Oct-12,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Last visit 01/01/2024  (WELL PLUGGED)",3628,0,,0
TN-Kx18,GTSKx,Low,2,,,SU5,NO,8 weeks,0,Not yet survey,0,,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Cemented well_DHSV IS NOT EXIST,well no fix body choke,removed SSV wing by WLI_Last visit v  (FULLY SHUT IN WELL), Last visit 01/01/2024",3539,0,,0
TN-Kx19,GTSKx,Low,0,15-Oct-20,Sand Free,SU4,NO,8 weeks,0,10-Dec-20,0,17-Oct-12,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Last visit 01/01/2024(WELL PLUGGED)",3357,0,,2.8
TN-Kx22,GTSKx,Low,0.2,,,SU4,NO,8 weeks,0,Not yet survey,0,-,,YES,, ,SI,"Preserve_GTS Kx preservation program, Cemented well no fix body choke, installed mini tree by WLI_Last visit 01/01/2024 (FULLY SHUT IN WELL)",3518,0,,0
TN-Kx23,GTSKx,Low,0,24-Dec-20,Sand Free,SU4,NO,8 weeks,0,18-Feb-21,0,,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Last visit 01/01/2024 (WELL PLUGGED)",3373,0,,0.2
TN-Kx30,GTSKx,Low,87,24-Oct-20,Sand Free,SU5,NO,8 weeks,0,19-Dec-20,0,17-Oct-12,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Last visit01/01/2024",3553,0,,1.9
TN-Kx36,GTSKx,Low,9,3-Dec-20,Sand Free,SU5,NO,8 weeks,0,28-Jan-21,0,,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Last visit 01/01/2024",3691,0,,0.6
TN-Kx38,GTSKx,Low,37.7,12-Nov-20,Sand Free,SU4,NO,8 weeks,0,7-Jan-21,0,,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Last visit 01/01/2024",3358,0,,0
TN-Kx41,GTSKx,Low,0,12-Nov-20,Sand Free,SU4,NO,8 weeks,0,7-Jan-21,0,,CAM,YES,, ,SI,"Preserve_GTS Kx preservation program, Last visit 01/01/2024 (WELL PLUGGED)",3528,0,,0.3
TN-L1,GTSL,Low,180,19-Feb-19,Sand Free,SU4,NO,8 weeks,0,16-Apr-19,0,18-Oct-12,FMC,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/30/2023 (Leakage at stem SSV wing)",3327,0,,0
TN-L11,GTSL,Low,45,11-Nov-23,Sand Free,SU4,NO,8 weeks,0,6-Jan-24,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",3581,0,,0
TN-L13,GTSL,Low,205,7-Jul-17,,SU4,NO,8 weeks,0,1-Sep-17,0,,CAM,YES,, ,SI,SIBU_Due to no flow (flow line & I/G Disconnected) Last visit 12/12/2023,3568,0,,0
TN-L132,GTSL,Low,128,18-Oct-22,Sand Free,SU4,NO,8 weeks,0,13-Dec-22,0,9-Oct-15,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 12/27/2023 (emulsion well)",3550,0,,1.3
TN-L135,GTSL,Low,145,,,SU4,NO,8 weeks,0,Not yet survey,0,16-Oct-15,,YES,, ,SI,SIBU_Due to no flow (flow line & I/G Disconnected WH body choke removed to TN-L70) Last visit 12/12/2023,3426,0,,0.7
TN-L140,GTSL,Low,0,17-Sep-20,Sand Free,SU3,NO,8 weeks,0,12-Nov-20,0,20-Dec-14,VONK,YES,, ,SI,SIBU_Due to no flow (Beware due to WHSIP bellow PSLL F/L) Last visit 12/18/2023,3046,0,,0
TN-L146,GTSL,Low,68,20-Aug-23,Sand Free,SU1,NO,8 weeks,0,15-Oct-23,0,20-Dec-14,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",2485,0,,0
TN-L157,GTSL,Low,103.4,8-May-22,Sand Free,SU3,NO,8 weeks,0,3-Jul-22,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024 (ESDV's acutator flowline moved to TN-I146, Actuator of TN-L157 under repaire by MNT/IS)",3032,0,,0
TN-L159.T1,GTSL,Low,28,20-Aug-23,Sand Free,SU2,NO,8 weeks,0,15-Oct-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",2911,0,,0.2
TN-L16,GTSL,Low,9.5,29-Aug-23,Sand Free,SU3,NO,8 weeks,0,24-Oct-23,0,,CAM,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024",3084,0,,0
TN-L168,GTSL,Low,119,17-Jan-20,Sand Free,SU3,NO,8 weeks,0,13-Mar-20,0,22-Aug-15,VONK,YES,, ,SI,"SIBU_Due to no flow, Last visit 01/01/2024, (Gearbox manual wing valve dismantled & steam manual wing broken) stuck open",3066,0,,0
TN-L169,GTSL,Low,193,19-Apr-18,,SU4,NO,8 weeks,0,14-Jun-18,0,9-Oct-15,VONK,YES,, ,SI,"SIBU_Due to no flow, (Manual wing + body choke removed) Last visit 01/01/2024",3552,0,,0.3
